iter	Passed	Remaining
0	5	15559
1	9	14603
2	13	13789
3	18	13610
4	23	14235
5	29	14548
6	39	16969
7	46	17492
8	57	19074
9	66	19919
10	72	19616
11	77	19288
12	81	18639
13	86	18461
14	94	18824
15	101	18969
16	106	18670
17	109	18193
18	113	17800
19	116	17414
20	120	17121
21	128	17403
22	141	18295
23	149	18577
24	161	19223
25	170	19534
26	180	19831
27	189	20126
28	199	20399
29	206	20402
30	210	20196
31	214	19921
32	218	19630
33	223	19538
34	231	19580
35	238	19653
36	249	19997
37	260	20269
38	266	20228
39	272	20155
40	278	20130
41	288	20350
42	298	20501
43	304	20437
44	309	20351
45	313	20150
46	318	19980
47	321	19797
48	325	19612
49	329	19427
50	333	19266
51	337	19114
52	340	18951
53	344	18798
54	348	18665
55	353	18566
56	360	18622
57	364	18494
58	368	18367
59	372	18272
60	377	18173
61	381	18059
62	384	17947
63	389	17866
64	393	17753
65	397	17649
66	403	17673
67	407	17569
68	411	17461
69	415	17382
70	419	17288
71	423	17203
72	426	17108
73	430	17021
74	434	16929
75	438	16877
76	443	16827
77	446	16733
78	450	16650
79	455	16616
80	461	16619
81	464	16536
82	468	16469
83	472	16404
84	476	16333
85	479	16262
86	484	16220
87	488	16166
88	492	16114
89	496	16060
90	501	16024
91	507	16045
92	511	15995
93	515	15951
94	519	15870
95	522	15810
96	526	15755
97	532	15775
98	537	15758
99	541	15717
100	546	15675
101	550	15640
102	554	15599
103	558	15538
104	562	15501
105	565	15447
106	569	15410
107	575	15405
108	582	15460
109	589	15498
110	595	15491
111	600	15491
112	609	15571
113	612	15517
114	616	15475
115	622	15470
116	626	15434
117	630	15393
118	634	15359
119	638	15328
120	642	15298
121	647	15273
122	651	15236
123	655	15203
124	659	15164
125	662	15108
126	666	15080
127	670	15033
128	674	15011
129	678	14975
130	681	14930
131	685	14904
132	690	14894
133	695	14869
134	699	14838
135	703	14806
136	706	14771
137	710	14742
138	714	14715
139	718	14687
140	723	14665
141	727	14641
142	732	14626
143	736	14599
144	740	14573
145	745	14564
146	748	14533
147	753	14510
148	756	14483
149	760	14456
150	765	14450
151	769	14415
152	773	14389
153	776	14354
154	780	14329
155	784	14305
156	790	14322
157	795	14313
158	799	14293
159	803	14263
160	807	14237
161	815	14285
162	819	14266
163	823	14237
164	827	14214
165	831	14192
166	835	14170
167	839	14152
168	843	14134
169	847	14114
170	851	14089
171	857	14100
172	861	14073
173	865	14051
174	869	14028
175	872	14005
176	876	13983
177	880	13962
178	883	13931
179	887	13907
180	891	13877
181	895	13861
